house_number,hhcount,hh_income,latitude,longitude,household_sample_size
555,3,10000,8228661.776835076,691124.0316379743,3
556,4,46000,8232064.542226094,690442.6044885159,4
557,4,80000,8225141.018556485,690412.12446095,4
558,6,20000,8239793.522385469,687761.9376846751,6
559,6,5000,8223984.985966595,688288.2857032925,6
560,5,20000,8239773.011226911,687813.7118790859,5
561,6,3000,8223999.763690342,688348.0115427683,6
562,6,200000,8228659.133740156,691098.0481239423,6
563,3,30,8233731.809149036,688319.6763319033,3
564,2,30000,8228488.929144602,690900.054981255,2
565,3,30000,8229499.70499879,691439.3345386817,3
566,4,10000,8224028.087722322,687738.8206587896,4
567,4,5000,8236899.645361974,687677.131668461,4
568,5,28000,8236955.511134405,687728.7486306925,5
569,5,20000,8226548.120090178,685014.7989981372,5
570,4,30000,8229820.764528941,685128.9428129531,4
571,5,10000,8239775.036243613,687800.2612887814,5
572,6,200000,8233515.282682273,688290.5315062539,6
573,2,36000,8228514.036120675,690869.5027272606,2
574,3,35000,8228616.955018627,691234.8587444098,3
575,6,15000,8226454.357434392,685030.3604048188,6
576,4,20000,8231892.272297145,690300.8793093108,4
577,6,200000,8239788.702262376,687766.7070634004,6
578,6,3000,8228029.128220938,690559.935885557,6
579,4,80000,8228422.959702799,690904.2953707618,4
580,3,5000,8228685.62670879,691017.5091678547,3
581,3,2000,8236659.330775345,688051.7153570444,3
582,3,20000,8234879.604875682,688960.324814663,3
583,3,35000,8224983.767030097,690090.0712979364,3
584,3,24000,8226523.931050198,685051.1299009499,3
585,3,10000,8232162.511947734,690522.5731674073,3
586,4,20000,8223948.247140113,685901.6360693084,4
587,2,40000,8224681.964385227,685651.7155780568,2
588,4,56,8229773.782471503,691392.736771812,4
589,4,200000,8228056.813400028,690800.4418151309,4
590,2,36000,8233558.101477608,688313.012725686,2
591,3,10000,8236921.748521917,687942.0927148662,3
592,6,30000,8237897.996503233,687636.4107546868,6
593,8,4000,8225169.430898321,690441.2092229739,8
594,4,20000,8225617.072897413,687726.204004974,4
595,4,15000,8236948.713888118,687525.5721397692,4
596,2,30000,8237834.951322704,687097.385279601,2
597,5,15000,8225026.135025924,688288.6672712003,5
598,2,36000,8239733.572502095,687728.7272371564,2
599,4,4000,8229789.817199991,685058.4935133883,4
600,3,20000,8234879.601689441,688644.3590984987,3
601,3,10000,8228396.893809646,690815.3698630829,3
602,3,24000,8239801.398685597,687848.5813740112,3
603,2,30000,8228167.1092686225,690822.028043589,2
604,4,25000,8224711.135253171,689809.1205711009,4
605,3,20000,8229473.049666737,691427.5663289106,3
606,4,3000,8228319.794696609,690891.6268533948,4
607,4,20000,8232121.097755598,690448.1711121739,4
608,4,46000,8232057.679996091,690462.7404824126,4
609,4,5000,8232182.991835985,690474.6655431458,4
610,2,15000,8226597.1888975445,684973.8685550959,2
611,4,15000,8236903.954180077,687835.080104575,4
612,3,40000,8231966.935908755,690398.6443448721,3
613,6,30000,8228500.146963895,690928.9964741962,6
614,6,3000,8225609.552236493,687711.7199165059,6
615,4,20000,8232102.585685467,690377.8118843064,4
616,3,6000,8228629.046113228,691041.0602397058,3
617,5,10000,8239718.409256935,687826.7207449146,5
618,4,15000,8226551.1305337185,684997.5191422012,4
619,3,10000,8228288.264072765,690891.3557888964,3
620,3,35000,8228687.351670698,691150.2125261835,3
621,3,20000,8224478.9501960585,686189.5922210434,3
622,2,36000,8226586.559526955,684988.200742796,2
623,3,6000,8224207.34492849,685714.6588351569,3
624,3,24000,8237879.11354601,687608.3573106761,3
625,4,200000,8224699.438315115,685732.6120640415,4
626,5,50000,8224796.463151651,689774.2820798745,5
627,6,15000,8232970.175682216,688429.3124493099,6
628,6,10000,8224923.416485369,690108.7804809386,6
629,4,50000,8228680.452299987,691063.6171691588,4
630,3,10000,8236736.776239602,688049.4824510311,3
631,4,200000,8225578.85098901,687726.8417004526,4
632,4,15000,8225003.925754069,688316.3573497997,4
633,6,15000,8236935.690064012,687596.6394822401,6
634,3,10000,8236916.724885519,687464.7069998817,3
635,3,10000,8236929.947612748,687813.1763310411,3
636,4,25000,8239738.492157479,687825.9275019558,4
637,3,250000,8236696.526543435,688061.6472085356,3
638,6,5000,8228555.945164626,690885.246991269,6
639,4,10000,8228662.177896211,691188.4562813322,4
640,3,25000,8228612.550076243,691191.5529328173,3
641,3,250000,8228452.348118371,690931.4700160305,3
642,4,10000,8225031.515603079,690203.9199226954,4
643,4,3000,8228643.034826258,690970.0289250768,4
644,3,40000,8232028.7919880785,690297.0184361262,3
645,3,28000,8224638.5974972,685696.5336593724,3
646,4,80000,8224025.629802201,688339.5798550715,4
647,4,50000,8225024.085533042,688304.992602904,4
648,2,36000,8233769.211243393,688304.6050646504,2
649,4,200000,8231821.1830574535,690625.5791171563,4
650,4,30000,8232068.74459899,690535.2336004109,4
651,5,50000,8232982.550445443,688435.1872657877,5
652,4,10000,8228596.571626286,691160.6471339673,4
653,2,30000,8224776.708273841,689241.5540745645,2
654,4,3000,8228559.593552733,690905.4699450472,4
655,3,250000,8223858.0256212745,686212.0999038856,3
656,3,20000,8236740.7859034315,688027.3938650589,3
657,4,20000,8223916.674975596,685907.1387160965,4
658,4,30000,8228001.284795402,686366.5984985535,4
659,4,30000,8225215.072406141,690466.5966917345,4
660,5,10000,8236846.094109553,687781.6916298629,5
661,5,20000,8223800.257203655,686265.4455108873,5
662,5,10000,8224648.931717845,685603.3734001014,5
663,5,25000,8228561.314423481,690927.5993461147,5
664,5,15000,8236881.345547331,687579.8313132209,5
665,4,15000,8232114.384439379,690562.5507198346,4
666,4,15000,8237859.064638118,687605.3032133786,4
667,4,10000,8228492.64362526,690912.586433874,4
668,2,30000,8224097.971943277,685656.0647392606,2
669,3,20000,8224322.872335714,685892.9493576587,3
670,4,200000,8234760.7149365125,689877.1677745085,4
671,5,20000,8224012.745184591,688394.2640746762,5
672,3,6000,8224683.601107242,685684.4138174772,3
673,4,20000,8231288.264348502,690556.9945966532,4
674,3,250000,8237714.255606046,687208.2649977115,3
675,2,30000,8224192.769563062,685629.94325845,2
676,2,30000,8228110.008226327,690754.4407072219,2
677,4,20000,8224004.311187668,688374.9664496458,4
678,3,40000,8228272.604530681,690934.4883133789,3
679,4,30000,8228691.363940883,691128.1322934392,4
680,3,6000,8231318.43986009,690604.3725736138,3
681,4,15000,8231801.600972958,690568.6744246141,4
682,3,30000,8223929.343528859,685877.445441148,3
683,2,36000,8225182.213690459,690399.0193998502,2
684,4,30000,8233545.830159684,688298.299253639,4
685,4,25000,8226543.744098816,684966.6931666781,4
686,4,3000,8228523.334763999,690899.3892366831,4
687,3,20000,8239685.8587160725,687832.2190736147,3
688,4,10000,8224930.555976768,690167.4836844074,4
689,3,6000,8224700.586865478,689205.3347832768,3
690,4,15000,8224657.336836596,685039.3472292088,4
691,5,10000,8226249.350126973,684485.3571856829,5
692,4,20000,8232115.067693249,690482.7391173607,4
693,4,20000,8228525.816036635,691165.8071216221,4
694,4,20000,8224885.408169706,690195.9364995441,4
695,3,10000,8225535.828015179,687730.3227999932,3
696,8,4000,8229821.549210338,685034.7195283349,8
697,4,10000,8224693.7661828585,685611.4394533259,4
698,3,10000,8239748.174950009,687925.091840114,3
699,4,10000,8232073.382795905,690551.6214352082,4
700,3,250000,8236934.905719739,687689.9322062206,3
701,3,20000,8224739.08644117,689780.5200078952,3
702,2,30000,8228125.289414585,690949.0990769925,2
703,4,15000,8231828.539528936,690547.7489725784,4
704,4,15000,8223769.955647258,686233.4686299657,4
705,3,20000,8224421.210703971,686125.6611040658,3
706,4,20000,8227959.054040824,690852.5568249571,4
707,3,20000,8224074.087554827,688370.7534213224,3
708,6,20000,8224724.592812702,689191.1198293736,6
709,4,3000,8224112.204328777,685667.7194542955,4
710,3,20000,8224635.668630718,689565.2895847027,3
711,5,10000,8226534.038058106,684984.8785646327,5
712,5,50000,8239796.675524906,687841.807880462,5
713,4,10000,8237565.920998053,687228.18253232,4
714,3,20000,8227998.834438161,686203.1303736176,3
715,6,200000,8223860.21900172,686178.4736654542,6
716,3,35000,8236892.86391842,687574.1570434135,3
717,2,40000,8228317.300164621,690848.3381824854,2
718,2,36000,8234956.881823236,688773.8901210693,2
719,4,15000,8232963.551160123,688421.5629357713,4
720,4,3000,8228613.138608797,690759.8434089128,4
721,6,20000,8239742.342250158,687936.5864610092,6
722,3,6000,8224663.043711896,685629.4469435068,3
723,6,5000,8228440.361501029,690991.9414378104,6
724,3,25000,8224639.056646453,685641.7429720544,3
725,3,40000,8228620.26847017,691182.9658005633,3
726,4,200000,8229763.9383625295,685067.8932808256,4
727,8,4000,8224721.702248982,689193.9791368879,8
728,2,40000,8228458.904213605,690946.9103909512,2
729,4,30000,8237744.6091519045,687236.4140356041,4
730,3,10000,8224409.827348163,685890.795146457,3
731,6,15000,8231890.9219028065,690347.0267372028,6
732,5,25000,8228037.055726894,686316.9029593822,5
733,4,46000,8237873.564195378,687586.1872488249,4
734,4,30000,8236814.900713507,687637.9452891928,4
735,5,20000,8224337.274162671,685884.4185520964,5
736,3,20000,8239788.2740387535,687817.6879859158,3
737,6,30000,8228001.833500529,686301.2240568416,6
738,3,5000,8224747.512141709,689192.2768548592,3
739,6,15000,8239684.0438117385,687820.6602117236,6
740,3,24000,8228405.559022746,691038.7555357993,3
741,6,10000,8229809.84290268,685063.4679073379,6
742,4,80000,8239798.180937262,687776.4063939997,4
743,3,20000,8236945.749439654,687537.0894145502,3
744,5,15000,8233004.538797757,688434.4116626593,5
745,3,28000,8231994.764277983,690385.4193405615,3
746,3,10000,8228435.0089522265,690947.6664240053,3
747,6,10000,8239754.961394519,687800.0926568682,6
748,2,30000,8232122.984336367,690451.0722245479,2
749,3,24000,8229849.862334912,685077.2625697237,3
750,4,30000,8239705.543188083,687765.0466638763,4
751,7,5000,8226553.820253064,685018.6920923794,7
752,4,15000,8224009.364247478,685525.7566027814,4
753,3,5000,8236887.727610254,688009.1356115347,3
754,8,4000,8232077.79802091,690482.420121453,8
755,3,10000,8236422.919385752,687551.2453816481,3
756,3,30,8228073.697733733,690837.1232770765,3
757,4,5000,8228368.560054849,691007.6693295634,4
758,5,50000,8232977.076871452,688404.3671136915,5
759,6,20000,8228610.349386375,691225.1867802979,6
760,3,28000,8236915.62364405,687482.0109945104,3
761,3,30000,8227929.618806836,686366.9583230354,3
762,3,24000,8226515.26731652,684944.3438388375,3
763,4,200000,8225659.8599521555,687750.6003817478,4
764,3,6000,8224344.609889081,685921.0093594255,3
765,3,20000,8229793.000881191,691380.4019925772,3
766,5,28000,8228010.043780001,690556.8876393934,5
767,3,10000,8223745.078488172,686238.065774601,3
768,2,36000,8227940.467561554,686326.6683312417,2
769,2,40000,8226365.346933098,684515.8971148324,2
770,4,80000,8228567.927102057,691269.0508167103,4
771,5,4000,8236413.078380824,687584.8265622818,5
772,4,80000,8239765.266691866,687825.1904737605,4
773,6,30000,8228604.801885365,691314.5593004042,6
774,2,36000,8223996.280355332,685491.0409594015,2
