house_number,hhcount,hh_income,latitude,longitude,household_sample_size
1182,6,100000,8265715.065781843,713609.4940104386,6
1183,4,30000,8262096.301498614,715973.1176035253,4
1184,3,270000,8263816.648080428,714345.8848423911,3
1185,4,30000,8261883.2403136585,715852.4551753867,4
1186,4,100000,8265784.093757367,713996.7317839968,4
1187,6,50000,8263455.507279936,714130.5089072514,6
1188,6,50000,8263687.909057782,714081.126448788,6
1189,4,5000,8265297.071387919,713344.8465768571,4
1190,5,30000,8264330.044661136,713326.272780209,5
1191,3,15000,8264451.543243003,715131.932856035,3
1192,2,10000,8261642.754842499,714858.5854298233,2
1193,5,30000,8262159.399877054,716656.3233272912,5
1194,2,50000,8264668.820264553,714771.0043160836,2
1195,5,30000,8262059.246854017,715353.9671434511,5
1196,4,30000,8262981.959734849,714862.1377019852,4
1197,7,20000,8263469.414968148,714778.884675305,7
1198,7,30000,8264031.961236715,713253.2560437117,7
1199,4,80000,8262846.2634369135,714172.9697766403,4
1200,6,50000,8265591.2200215785,715050.5491490839,6
1201,5,20000,8264268.837721344,713261.9230556228,5
1202,4,53000,8261545.441133985,715053.9159976023,4
1203,4,10000,8261720.029862389,716241.1551669701,4
1204,9,6000,8261012.458550664,714723.4725717278,9
1205,4,70000,8262840.155528241,713786.4267465974,4
1206,2,5000,8264286.884977134,715363.7007721858,2
1207,4,80000,8261614.229028419,716370.5761110004,4
1208,8,80000,8265098.160844049,712364.950116362,8
1209,4,15000,8263432.582032523,714744.2752461856,4
1210,7,20000,8265333.5104948245,714069.103611877,7
1211,7,70000,8264230.7242009435,715038.2987221858,7
1212,2,10000,8262010.453308809,715346.443680387,2
1213,6,45000,8262135.783448411,716619.3811918624,6
1214,2,35000,8266381.173996053,714379.927457339,2
1215,3,10000,8264413.118284812,712838.9035348786,3
1216,7,20000,8265030.212156154,714986.6993835329,7
1217,3,10000,8261048.8245521365,715445.204995279,3
1218,4,30000,8265884.104957707,713732.933551124,4
1219,8,50000,8264480.562091534,713760.6641385406,8
1220,3,20000,8264577.209020024,712987.2974079903,3
1221,4,100000,8265122.555332248,712826.9609966893,4
1222,3,30000,8263304.599660807,713952.9758190992,3
1223,2,50000,8262396.832898555,714764.5556841237,2
1224,6,30000,8265132.352495327,715047.168272108,6
1225,6,50000,8261604.643166901,716352.9095586358,6
1226,7,20000,8264208.687531514,715268.1004118035,7
1227,6,30000,8262824.323637424,715705.9502729086,6
1228,2,150000,8262380.982948806,715741.1897329452,2
1229,2,30000,8261809.3896067785,714754.6019426697,2
1230,4,45000,8262265.124245481,715479.9641469623,4
1231,6,24000,8261866.9510854585,715993.2987454765,6
1232,2,35000,8261559.663116867,715759.5856798363,2
1233,9,6000,8265372.8729250785,714301.7552003327,9
1234,4,45000,8263464.237594085,714089.7156391975,4
1235,9,6000,8263513.741034059,714240.1161854524,9
1236,9,6000,8262099.737365152,715432.4979624706,9
1237,7,20000,8262259.279521003,715291.902274905,7
1238,4,30000,8261278.319939133,714690.0824992924,4
1239,3,270000,8265676.588580723,714879.0937288834,3
1240,4,20000,8265463.365008354,712548.2598565788,4
1241,6,60000,8265230.920942159,714263.9333745505,6
1242,3,200000,8265830.380563553,715340.4039592824,3
1243,7,50000,8265400.888872282,713526.866409669,7
1244,6,24000,8261517.11311598,715450.9565125069,6
1245,7,40000,8263645.855403887,714442.5142824139,7
1246,6,350000,8261907.984926596,716029.3549197966,6
1247,7,20000,8262000.904174241,715293.4787280982,7
1248,4,45000,8264695.8426320935,714307.0995096005,4
1249,4,30000,8265067.902892207,712543.383722106,4
1250,2,50000,8261567.027449233,715136.7632998731,2
1251,6,50000,8262024.753795559,715338.1824813082,6
1252,6,100000,8263673.288082353,714098.5346028437,6
1253,3,15000,8262128.654088529,716079.8639210733,3
1254,8,200000,8265205.598292949,714713.5011773496,8
1255,4,45000,8264448.776249869,712960.3398193732,4
1256,4,30000,8265470.958320413,712476.6253167116,4
1257,4,70000,8265516.980286758,713328.8337169911,4
1258,4,100000,8262735.620687557,714805.1271155642,4
1259,5,30000,8262384.487161418,715412.3742151009,5
1260,3,70000,8264366.193743352,712912.8541072835,3
1261,4,70000,8262509.120638728,715251.4649519084,4
1262,7,40000,8264489.121267828,715161.0325881896,7
1263,2,45000,8263433.647167067,714470.9334158094,2
1264,4,30000,8261327.152667802,716232.6540211202,4
1265,7,150000,8264508.57330677,714665.0815294675,7
1266,5,20000,8265027.526732657,713179.2868266639,5
1267,7,40000,8262802.630452181,714967.5668789195,7
1268,7,20000,8261448.481591994,715614.9725332956,7
1269,4,30000,8264486.759491609,712967.8789132838,4
1270,2,5000,8261794.136925799,714844.8050551914,2
1271,4,20000,8261239.51293535,715505.9711606398,4
1272,5,30000,8263762.944351437,713424.2945524015,5
1273,4,30000,8261359.105870547,714538.1466278539,4
1274,4,20000,8261612.89219018,716278.0354212617,4
1275,4,10000,8261554.252473021,715725.9469972483,4
1276,8,50000,8265217.290731783,713168.1029298701,8
1277,4,70000,8262686.8589540925,715713.9382430892,4
1278,7,50000,8261676.529730443,715036.9748468264,7
1279,3,200000,8261960.851293662,714725.1883096494,3
1280,6,100000,8265558.234073507,713607.2699539915,6
1281,7,30000,8264346.6462624995,715195.1500575077,7
1282,3,270000,8263594.897779857,714725.2575691959,3
1283,3,120000,8263723.0799390115,714313.2520360495,3
1284,2,30000,8261316.4076210465,714599.5964601404,2
1285,4,26000,8261236.71382395,715522.7221645915,4
1286,6,70000,8261711.563381491,716018.9146358231,6
1287,5,80000,8263004.870212784,714445.6677083264,5
1288,2,30000,8261825.237118388,715633.8681836145,2
1289,4,100000,8265228.670216443,713167.0970855334,4
1290,7,20000,8262928.270039305,715511.133701731,7
1291,3,50000,8261901.16509547,716088.7532859466,3
1292,5,30000,8266191.054324223,714924.0718545659,5
1293,3,30000,8264561.538318075,713211.4005154785,3
1294,7,150000,8262770.844892685,716111.8010427018,7
1295,6,100000,8261991.782718472,715101.6073407958,6
1296,6,70000,8263828.728885969,713248.4513502516,6
1297,8,50000,8262118.841710176,716608.661761185,8
1298,5,80000,8262522.520864896,716259.2641764552,5
1299,2,30000,8261142.787024246,715921.6656635257,2
1300,2,50000,8261442.761850809,716269.9988860771,2
1301,2,5000,8262070.925272751,714719.5616421349,2
1302,5,30000,8265165.307432994,712655.1103676306,5
1303,4,40000,8264145.817808114,715245.5055467873,4
1304,5,50000,8263431.70698855,714667.3578245501,5
1305,4,53000,8263133.198688865,714036.3291900146,4
1306,6,150000,8263737.752147002,715043.9270848488,6
1307,4,30000,8261744.035727555,715168.1603409682,4
1308,6,100000,8263984.640491476,714321.3745649154,6
1309,2,150000,8261912.321135756,715480.8115837111,2
1310,8,80000,8261759.890826607,716436.2081998071,8
1311,4,70000,8263663.114369135,714905.7653225216,4
1312,6,30000,8265831.718823277,714964.8523061179,6
1313,2,50000,8261427.197773207,715440.8934976466,2
1314,5,20000,8262691.696881393,713616.9109378151,5
1315,4,70000,8263460.083149222,715069.1865688649,4
1316,5,30000,8264433.294167071,712764.5730175005,5
1317,2,35000,8264390.572202168,713940.6201029452,2
1318,4,70000,8263649.0324613135,714843.0390230687,4
1319,4,30000,8265655.566581676,715021.4218385466,4
1320,8,80000,8263433.935042559,713895.7610405579,8
1321,4,70000,8264599.865393361,713455.4514877287,4
1322,7,20000,8263625.59754308,714437.6100930326,7
1323,5,80000,8263772.658934885,714282.8179920481,5
1324,6,45000,8261775.575096946,716434.1869822113,6
1325,4,30000,8263881.3047869075,713843.8047755968,4
1326,4,30000,8262342.257654544,715475.6157914638,4
1327,3,30000,8263168.726645868,715130.0336071734,3
1328,5,30000,8261720.953187112,714675.1712530548,5
1329,4,15000,8264466.845536908,712963.4729690189,4
1330,3,70000,8263359.103776497,714119.0008336636,3
1331,4,30000,8261788.124162938,715857.9922566413,4
1332,5,30000,8266170.310989014,714226.5320320406,5
1333,6,70000,8263788.858265836,714433.7604830841,6
1334,8,150000,8264245.755862478,713639.7347720258,8
1335,4,40000,8261046.6294257585,715432.791284011,4
1336,3,50000,8262511.981886239,716276.5157052675,3
1337,6,150000,8265104.827447921,714837.2271843997,6
1338,6,50000,8261651.209653308,715417.5770741358,6
1339,2,30000,8263486.482375524,713960.9916497027,2
1340,4,30000,8262281.318987734,715857.536681091,4
1341,6,50000,8261819.503112726,716343.896936271,6
1342,2,150000,8265409.39218962,713545.8497159474,2
1343,5,20000,8263915.429292003,714305.1114663846,5
1344,4,5000,8263988.8468425935,715148.5134605232,4
1345,4,30000,8263724.861077232,713625.7927984382,4
1346,6,50000,8264994.472900063,713719.9508724028,6
1347,4,20000,8265485.615146333,713748.2145285258,4
1348,4,30000,8262706.835793015,715331.1198903243,4
1349,3,50000,8265264.8541285675,712185.8138416597,3
1350,2,10000,8265455.233712584,714152.8740472952,2
1351,7,40000,8262981.707125263,715856.778303195,7
1352,4,20000,8263123.884198684,715181.663431317,4
1353,2,35000,8264126.3467186205,714357.5488439153,2
1354,5,80000,8265913.341867358,715082.6738941176,5
1355,7,20000,8263753.540659477,714514.680344162,7
1356,4,70000,8265221.347912423,712972.6338902389,4
1357,4,20000,8265520.669053611,713478.6497972021,4
1358,3,270000,8262329.340196844,715650.4524556005,3
1359,6,50000,8265336.236752709,711971.178029163,6
1360,8,150000,8261170.144022749,716042.1304639163,8
1361,6,100000,8261620.366608075,715756.9707763311,6
1362,7,20000,8264914.207838886,714906.16755248,7
1363,2,5000,8264199.607621109,715073.5422642801,2
1364,6,30000,8263674.95263981,714458.3459009642,6
1365,4,30000,8265944.42076179,713000.7172344367,4
1366,4,40000,8263755.667337503,714389.6595092664,4
1367,8,200000,8265300.270914119,715078.6206925716,8
1368,3,50000,8261696.357299183,716475.8847274296,3
1369,2,45000,8265616.119055885,713783.4845291501,2
1370,7,70000,8265225.98204082,712145.3295819537,7
1371,2,40000,8262362.961179244,715303.9084052759,2
1372,6,100000,8265625.609404029,715078.1972240417,6
1373,4,30000,8263111.043463877,714528.0296407031,4
1374,2,50000,8265396.403226498,712220.9284556407,2
1375,6,100000,8265470.497498384,714990.2284336425,6
1376,2,45000,8263622.624408147,712951.662174981,2
1377,4,30000,8264472.9480650835,714811.4215904444,4
1378,8,150000,8263919.754004566,713977.9571128418,8
1379,4,20000,8263591.772399094,713836.5052146423,4
1380,5,30000,8262312.8673907975,715406.039285463,5
1381,3,70000,8261169.413945748,715738.2198133151,3
1382,4,50000,8264345.67499185,714887.1093561738,4
1383,2,28000,8262115.779247072,716051.7057807205,2
1384,3,70000,8265385.459205229,713553.8051929022,3
1385,7,50000,8265502.835267942,712843.8992644448,7
1386,2,30000,8264173.873543689,713901.7204860197,2
1387,7,40000,8262042.360737091,716486.6684170463,7
1388,7,70000,8261055.401910487,716324.5740283295,7
1389,7,20000,8263735.221586792,714937.3644279455,7
1390,4,20000,8265109.484175043,712310.0545131532,4
1391,6,30000,8263843.547077135,714943.4674940744,6
1392,4,40000,8261630.499994326,715618.8689170377,4
1393,3,200000,8263624.702494503,714226.9182479894,3
1394,8,50000,8261681.525370239,715188.6775437843,8
1395,2,50000,8262098.521689395,715119.1450137127,2
1396,7,70000,8262116.078913047,715680.5215767114,7
1397,7,40000,8265340.727002851,714073.9841155158,7
1398,5,80000,8264226.686683363,712717.8966174684,5
1399,6,60000,8265642.249540918,714947.8281908366,6
1400,4,20000,8263797.490467307,713830.5883222562,4
1401,8,200000,8261474.521942485,715389.4223411315,8
1402,6,30000,8263964.319988466,714359.0523868252,6
1403,4,26000,8264079.55227087,712511.6785536893,4
1404,3,20000,8263421.0442846,714774.2514950477,3
1405,4,45000,8263771.215491809,714089.0810706274,4
1406,5,30000,8265308.71788496,713001.9005156017,5
1407,2,150000,8263760.674110867,714293.9572900437,2
1408,4,26000,8263302.495243117,714657.1664380904,4
1409,7,30000,8264035.631290709,714321.6380218447,7
1410,2,50000,8262257.040365337,714811.1144721248,2
1411,7,150000,8261961.236150434,715196.8053208617,7
1412,4,70000,8263466.780332334,714690.3685276755,4
1413,2,35000,8263729.700262024,715076.7368094781,2
1414,8,80000,8265684.389409469,715327.8531228042,8
1415,3,120000,8263768.508713621,714325.3599935521,3
1416,4,20000,8265851.082201459,714966.4063142068,4
1417,6,350000,8265575.078734703,715015.7188049693,6
1418,2,40000,8265088.705961192,712884.2871194545,2
1419,7,40000,8265016.401320795,713157.513218757,7
1420,5,30000,8266142.320049899,714358.3854325429,5
1421,6,50000,8262535.275058736,715236.9204469075,6
1422,4,30000,8263598.373062853,712944.1814077734,4
1423,2,150000,8261424.537183251,715363.5065167627,2
1424,4,20000,8265095.8166314615,712828.3338559422,4
1425,7,70000,8263500.090039382,714736.0224927411,7
1426,2,50000,8264112.7546868045,714379.7025456339,2
1427,4,30000,8264342.707324943,713001.9466053378,4
1428,4,70000,8264028.750395773,714726.2883148949,4
1429,4,30000,8266636.691183422,715270.4701138826,4
1430,9,70000,8261795.655379318,716229.5973320234,9
1431,6,30,8263546.077020014,712893.513011384,6
1432,4,30000,8266375.839283535,714357.6378618148,4
1433,6,30,8264315.730599853,712902.532052947,6
1434,4,20000,8260945.567885639,716303.4985256825,4
1435,3,70000,8262291.951056458,715305.13190859,3
1436,6,50000,8263220.066563827,714674.10149535,6
1437,3,270000,8263915.425558436,714321.6184246516,3
1438,4,53000,8261401.647604449,714489.7931530331,4
1439,3,70000,8262009.309292786,714897.7279134628,3
1440,8,200000,8261127.167008993,714993.2258550834,8
1441,4,45000,8262145.548727982,715671.6192767052,4
1442,5,80000,8265118.608712232,714982.327434232,5
