house_number,hhcount,hh_income,latitude,longitude,household_sample_size
6669,5,60000,8254692.38087408,718595.5264169407,5
6670,7,10000,8255546.869578693,718581.5080944987,7
6671,3,50,8255268.821125042,719592.7237914864,3
6672,4,200000,8255529.984423046,718764.9307781028,4
6673,6,100,8255352.159006211,719689.4106169993,6
6674,5,150000,8256070.802763396,718548.3680569765,5
6675,2,30000,8255146.762431546,718284.0788183165,2
6676,4,200000,8255384.171593383,718717.1086668316,4
6677,3,25000,8255489.217580192,718988.089337116,3
6678,2,50,8255546.364204746,718854.6946770852,2
6679,6,150000,8256325.085477556,717754.4282543261,6
6680,5,60,8255485.5302457865,718656.820195808,5
6681,3,45000,8255067.4979264075,719150.0479801815,3
6682,6,100000,8254791.824722299,719022.7373532479,6
6683,7,1000,8255929.143711773,718086.350665327,7
6684,5,40000,8255976.632499395,718488.4751078766,5
6685,5,60,8254974.853659291,718657.3084657255,5
6686,5,50000,8255244.273456983,717977.3332626865,5
6687,3,50000,8256063.832305894,718126.196647551,3
6688,2,50000,8255582.061894992,719502.7079849428,2
6689,5,60000,8256077.071100315,718012.2736298748,5
6690,6,100000,8256968.4949040115,717853.6381705147,6
6691,4,70000,8255887.468979181,718658.798119932,4
6692,4,200000,8255921.5476930225,718165.3872150772,4
6693,6,35000,8255142.011597903,718192.0952935218,6
6694,3,50000,8254727.708050259,718576.7366118698,3
6695,3,70000,8255441.290343,717473.7394150044,3
6696,7,80000,8256494.9714074815,718376.673842344,7
6697,8,120000,8255553.756048402,719313.9934106008,8
6698,5,50000,8255443.083583132,717895.1249438704,5
6699,3,100000,8255436.078549981,719674.0153022091,3
6700,5,50000,8255687.9492862765,718553.6008907817,5
6701,3,60000,8255517.054378889,718706.5732567096,3
6702,3,50,8256365.021707799,717973.5756182251,3
6703,6,40000,8254999.399519954,718894.3336371076,6
6704,8,100,8254840.942245474,718670.5064880354,8
6705,2,25000,8255353.575445234,718763.9401423383,2
6706,6,100000,8255483.511179671,718022.8362023865,6
6707,4,50,8255694.732035313,718291.1736826729,4
6708,6,150000,8256997.357879181,717957.6787706594,6
6709,6,50000,8255736.314634108,718773.9936428798,6
6710,2,25000,8256083.689505334,717831.2332732561,2
6711,5,30000,8255579.215591037,717596.2941620233,5
6712,8,500000,8254765.124025463,718573.2321633394,8
6713,5,30000,8256264.58442292,717906.1138520936,5
6714,5,30000,8255411.402376672,719478.0249486595,5
6715,5,30000,8255312.55621984,719638.0320527251,5
6716,5,20000,8255123.569914437,719250.9033854449,5
6717,6,35000,8254613.238712039,718568.3996230504,6
6718,6,100000,8255428.808676298,718595.1095418092,6
6719,4,70000,8255466.601709801,719489.7042101122,4
6720,5,60,8255412.255179697,718739.035445573,5
6721,4,50000,8255502.787615774,717734.2285753163,4
6722,3,40,8254972.245105881,718801.8382478091,3
6723,6,16000,8254926.862968834,718700.9041282326,6
6724,4,50000,8255247.294417649,719473.8074594717,4
6725,8,120000,8255244.326323967,718190.8594885253,8
6726,4,50000,8255609.105348995,718880.8967294454,4
6727,5,30000,8255269.021766875,719544.4551655431,5
6728,5,20000,8255102.2151565775,719414.8392848043,5
6729,2,30000,8255760.447321959,718807.5181264202,2
6730,5,80000,8256795.045620987,717933.7676510265,5
6731,3,55000,8255242.702213105,719385.1231219341,3
6732,6,100000,8255437.550867418,719580.6045341385,6
6733,4,450000,8255305.012801622,718284.7970551121,4
6734,5,30000,8256672.894366021,717608.4340883552,5
6735,2,70000,8255719.499092555,717580.1609692831,2
6736,3,45000,8257235.027392489,717878.7862665809,3
6737,5,30000,8255336.435953863,719384.1639897934,5
6738,4,120000,8255333.207405542,718104.8950714807,4
6739,4,100000,8257202.145217227,717774.6149213066,4
6740,5,50000,8255822.9809702905,717406.6011153325,5
6741,3,50,8255365.448497637,717934.9320491306,3
6742,5,30000,8254576.4454539195,718445.2217916704,5
6743,3,45000,8256036.662688846,717719.4772422507,3
6744,2,70000,8255038.379639168,718786.1627137499,2
6745,6,100,8255164.54771711,717953.1629753541,6
6746,5,100,8256539.386723908,717876.5863713627,5
6747,5,150000,8255832.803031374,718786.0381008061,5
6748,3,50,8255487.1961356215,717991.9750723636,3
6749,3,25000,8255679.384916585,718606.2703702357,3
6750,3,60000,8254975.011042845,719168.5104244475,3
6751,6,100,8255491.515580207,719501.753518463,6
6752,4,50000,8254598.847011143,718566.5314401533,4
6753,5,60000,8255617.769499056,717800.3489617251,5
6754,3,30,8255238.24218654,718913.5257860632,3
6755,7,80000,8254398.985390673,718509.0011544982,7
6756,2,25000,8256729.82346539,717901.9184365759,2
6757,6,100,8254941.031306336,718984.1719317281,6
6758,7,80000,8255884.524477167,718395.7127187083,7
6759,3,30,8255677.7675441615,717858.6788989322,3
6760,8,120000,8255315.662768342,718906.5619709374,8
6761,3,30,8255349.293389165,718978.7136243173,3
6762,5,50000,8254716.271482743,718845.0164544445,5
6763,6,40000,8255690.031476431,717342.6299051906,6
6764,13,50000,8255422.31312929,718809.1279028166,13
6765,5,15,8254440.433135219,718441.541488686,5
6766,4,80000,8256529.773020892,718251.5492762404,4
6767,5,50000,8255182.455121165,718357.440539769,5
6768,4,120000,8255099.118525344,718652.6145620219,4
6769,5,30000,8254769.179261583,718666.3448707368,5
6770,6,200,8255841.880856547,717703.1809059448,6
6771,3,50000,8255607.547830333,719357.0798708588,3
6772,3,45000,8255465.487105915,719324.0338904806,3
6773,4,50,8255605.579384815,718551.6372767074,4
6774,5,15,8256793.938422007,717860.4857424301,5
6775,3,50000,8255950.995671508,718785.5875203833,3
6776,4,40000,8255908.881564361,718413.07602908,4
6777,2,30000,8256133.305903796,718080.0845736171,2
6778,7,1000,8256177.942391152,718618.4708525803,7
6779,4,50000,8255402.343869371,719642.5703240699,4
6780,6,200,8255988.265412463,718085.5916090913,6
6781,3,34000,8255782.327374069,718900.6567951919,3
6782,4,50000,8255411.488870306,719262.548235854,4
6783,7,10000,8257323.302176929,717855.228507481,7
6784,4,20000,8256433.199678353,717845.6833266116,4
6785,6,50000,8255441.046907674,719330.54984629,6
6786,3,100000,8254746.357321774,718892.5957990661,3
6787,6,100000,8256076.293332314,718041.4690952534,6
6788,5,50000,8255530.095626864,718708.1111841747,5
6789,5,50000,8255730.365819975,717626.0950977586,5
6790,4,50000,8256588.322603203,717965.2673731572,4
6791,5,80000,8255736.905515354,717999.5441149657,5
6792,8,40000,8255371.916679745,718797.2847036335,8
6793,3,40,8255604.278946647,717506.5506036219,3
6794,3,34000,8255317.717414078,718459.9983124157,3
6795,3,50000,8256258.051875237,718590.1631518676,3
6796,3,34000,8255899.783408185,717783.4855700652,3
6797,5,50000,8255371.753150831,719825.1567311867,5
6798,5,150000,8256079.849931897,717621.2944488935,5
6799,3,45000,8255174.859942192,718932.9962940471,3
6800,5,30000,8256219.6999180745,717566.5212526651,5
6801,2,30000,8255486.884562425,719018.9850546127,2
6802,3,50000,8255206.774648167,718362.2105812802,3
6803,6,100,8254703.830652994,718580.7130302093,6
6804,4,80,8255529.507298714,719413.1059480886,4
6805,5,15,8256142.600141843,718065.0465344654,5
6806,3,34000,8256374.645498795,717596.7789530852,3
6807,2,70,8255266.510935534,718772.2986333376,2
6808,6,100000,8255161.028161632,719439.0548564605,6
6809,4,200000,8255400.577982385,718930.0359264534,4
6810,6,150000,8255636.629267571,718245.1522060777,6
6811,4,50,8255944.305753655,717687.3796119076,4
6812,5,60000,8255841.11876662,717904.7023637809,5
6813,6,25000,8255892.952741457,717339.4945435275,6
6814,5,80000,8254765.03093911,718803.7922342767,5
6815,3,100000,8255269.607994477,719378.5423180906,3
6816,7,10000,8255244.176144642,718433.1626512434,7
6817,2,50,8255784.427786633,717443.6509582743,2
6818,5,80000,8255999.075865489,718024.9547653337,5
6819,3,30000,8255230.1849341905,719400.3902773415,3
6820,3,100,8256446.090560863,717547.5120531546,3
6821,5,50000,8254942.08431555,718634.6368739237,5
6822,6,40000,8255765.7904185355,718023.256058253,6
6823,10,15000,8255872.920570429,718565.7807613473,10
6824,5,30000,8255347.735490136,718753.2395251956,5
6825,3,50000,8254901.7231633,719104.6997857371,3
6826,5,60000,8255801.844030986,717593.0574966357,5
6827,5,45000,8255050.021044859,719271.733828302,5
6828,5,200,8255881.397992307,717435.545267361,5
6829,4,50000,8255354.496581504,719479.6344782732,4
6830,7,152,8255604.516074096,718948.2701344879,7
6831,5,50000,8256807.20226002,717903.0914674464,5
6832,5,30000,8255851.089481778,718817.960498658,5
6833,3,50000,8255623.1669261595,717718.9440199947,3
6834,3,55000,8255951.759281699,717646.4887427604,3
6835,5,50000,8255519.712708775,719098.181064792,5
6836,2,70,8255191.284571225,718898.955881562,2
6837,5,40000,8254824.826520603,719053.1252550087,5
6838,3,100000,8255273.981792717,717849.7431072481,3
6839,3,70000,8256007.7117804615,717803.3435376169,3
6840,8,75000,8255411.017807625,719286.1994237823,8
6841,6,100000,8255112.539357836,719321.7368534559,6
6842,4,80,8255928.400690621,718024.8457106035,4
6843,5,40000,8256018.018407995,718151.1948761914,5
6844,2,50,8255380.213280316,719718.3608892006,2
6845,4,50000,8256856.471688302,717953.881020697,4
6846,3,40000,8255383.630888137,719044.9538977051,3
6847,5,80000,8256053.300370131,717806.1295240006,5
6848,7,1000,8256069.312003002,717882.8422639109,7
6849,3,60000,8255516.6373189185,719190.8153705306,3
6850,6,25000,8256017.727834272,718770.8148390525,6
6851,5,80000,8255896.180625653,717926.1846142493,5
6852,8,100,8255363.607989516,719565.4426249093,8
6853,6,200,8255842.574982801,718683.1330597921,6
6854,3,30000,8254455.297058885,718623.6208120047,3
6855,3,45000,8256885.344534776,717907.1562184318,3
6856,3,34000,8255305.6629893705,719717.0488579953,3
6857,8,40000,8255203.330926949,719417.9242051619,8
6858,6,40000,8255742.210652307,717925.9341390823,6
6859,3,50000,8255241.256645131,718585.6275772044,3
6860,3,50,8254834.3525219895,718929.5607692269,3
6861,2,70,8256009.244150776,717769.5530740913,2
6862,4,70000,8255973.990815092,717762.4327221161,4
6863,3,100000,8256213.339282078,717669.284898198,3
6864,3,50000,8256606.296613693,718025.440903384,3
6865,6,50000,8255160.590957593,719313.1268556281,6
6866,3,100000,8255805.359800039,718852.3235081625,3
6867,4,450000,8255549.463313665,719374.0652397814,4
6868,5,50000,8255411.303631338,719353.1491798576,5
6869,8,40000,8256895.585470808,717707.8037201976,8
6870,2,30000,8256232.275875006,717727.608924535,2
6871,3,25000,8255329.323111362,719094.216120726,3
6872,3,30,8256155.797578432,718231.0890931858,3
